seed,iterations,final_log_likelihood,accuracy,ari,nmi,bic
0,248,-296.91504692345063,0.8866666666666667,0.7183576141196959,0.7628994493020241,814.2980467871365
1,56,-303.4899334391789,0.6666666666666666,0.5229862978614419,0.6153676519484723,827.4478198185931
2,67,-313.75163999849804,0.7333333333333333,0.5425559321437503,0.6385047207797914,847.9712329372313
3,89,-299.8481627739451,0.82,0.6006861021484542,0.6467113936056552,820.1642784881254
4,35,-296.91504729782815,0.8866666666666667,0.7183576141196959,0.7628994493020241,814.2980475358916
5,186,-296.9150473202372,0.8866666666666667,0.7183576141196959,0.7628994493020241,814.2980475807096
6,52,-303.48993329355096,0.6666666666666666,0.5229862978614419,0.6153676519484723,827.4478195273372
7,46,-296.9150469027316,0.8866666666666667,0.7183576141196959,0.7628994493020241,814.2980467456985
8,56,-303.48993345024587,0.6666666666666666,0.5229862978614419,0.6153676519484723,827.447819840727
9,224,-296.91504688990614,0.8866666666666667,0.7183576141196959,0.7628994493020241,814.2980467200475
